title,author,category,rating,description,url
拥有十万里大山空间的山货郎,玄幻妖孽,玄幻,0.0,来到一个不一样的民国，开始了自己的经营之路。五百年前，红月破碎，天降流火，于是从那个时候起，一切也都不一样了，灵能矿脉、时空风暴、法则碎片遍布天下，一个个老物件浸染灵能，机缘之下，山货郎拥有了浸染灵能的十万里大山空间，且看小小的山货郎如何在这督军争霸，西洋横行的世界崛起。,https://m.qidian.com/book/1045937805
人在玄幻，能去低武世界,跟风者1,玄幻,0.0,在遮天这种战斗起来动不动就磨灭大道的 玄幻 世界，给了我一个能够通往武侠世界的外挂？这是不是有哪里搞错了？不过很快，张恒就发现低武世界也不是没有优势，他随便一出手，便已经是世界的极限，每一次都能搅动风云，主宰世界的变化，获得最大程度的奖励。龙蛇演义世界，得到了至诚之道可以先知的心灵境界。越女剑世界，获得了越女阿青残缺的先天道胎血脉。天龙八部世界，获得了萧峰残缺的荒古圣体血脉，直接合成残缺版的先天圣,https://m.qidian.com/book/1047177435
斗罗之辟邪魇魅,开局玄幻小猪,轻小说,0.0,新书，斗罗绝世:终焉神锋，诚邀各位书友大佬阅览。妖族天花板，辟邪王北洛与霒蚀君云无月之子，因诞生方式不受位面认可，只得二度穿越，降临斗罗大陆。武魂殿、两大帝国、七大宗门？身为辟邪王族，北玄表示，他绝不屈居人下。唐门唐三？既然我北玄来了，这方天地，亦不会再由你主宰。ps：不跟团，偏动漫,https://m.qidian.com/book/1037161660/
玄幻版斗罗,长青画羡鱼,游戏,0.0,此书曾用名《斗罗之百年传奇》、《百年传奇之我是尘心二叔》、《斗罗综武：尘氏仙族，干翻神界！》此书，时间线在《斗罗一》百年前，百年期间不必遵循什么预定主线。此书，不用赶时间，不急成神。此书，不成神，成仙，有金手指。此书，设定了斗罗大陆万年历史脉络。此书，有人口十五亿，魂师数量一百五十万以上，并在上升期中。此书，立国两千年的两大帝国皇室很强，与武魂殿并列八大霸主级势。此书，江湖很大，很大。有二十四名门,https://m.qidian.com/book/1037674403
洪荒之本尊驾到,玄幻神话,仙侠,0.0,纵横于荒古，创造不败神话；漫步于太古，铸就不朽传说！淡看世间缘起缘灭，掌演万道诸天轮回；当举世无敌，无敌寰宇之时；回首间，已是一切成空！,https://m.qidian.com/book/1023831865
青云之逸剑风云,开局玄幻小猪,轻小说,0.0,本书又名，诛仙之逸剑风云，诛仙之一体双魂。张小凡，身怀乱魔命，性格坚忍，但没有主见，容易随波逐流，一生都被人推着走。宇文逸，逸剑风云男主角，武功盖世，破碎虚空而来，善良而果决，坚强而隐忍，智商情商极高，外号宇文魅魔，裁缝、打铁、厨艺、鉴定等十项全能型人才，为了救人而濒死，本可夺舍张小凡，成为新的气运之子，但因善良本心，宁死都不愿夺舍一个无辜孩童。在一位高人帮助下，以鬼谷收化之术和张小凡一体双魂，宇,https://m.qidian.com/book/1045633616/
一人之下：青梅陈朵，我最强蛊修,玄幻梦想家,轻小说,0.0,新书《一人之下：我的金光咒不对劲！》，欢迎品尝。…………当苏阳醒来，已是药仙会49名蛊童中的一员。旁边有个小女孩，有着一双绿色的大眼睛。不出意外，她就是陈朵儿。这时候，蛊修系统到来。何为真正的蛊修之路？当为养蛊、炼蛊、合炼！他叫苏阳。他所求的，不过是蛊术的巅峰，以及与青梅陈朵的未来。,https://m.qidian.com/book/1036614431/
一人：专精金光咒，你模拟四圣兽,玄幻梦想家,轻小说,0.0,苏白穿越到一人之下世界，成为张之维师弟，也就是张楚岚的二师爷。他专精金光咒，性命双修，性命修为越高，衍生出的金光质量越好。他又深入研究‘以炁化形’之力，灵活运用，成功创造出模拟‘四圣兽’之法。高质量+高灵活！苏白一旦施展，金光化作四圣兽降临，他被裹在四圣兽体内，如同开的高达作战！后来不断升级，四圣兽也具有了对应的能力。【金光咒：青龙形态，五行属木，纵雷之力，攻击无双。】老天师：雷法，我竟败了！【金,https://m.qidian.com/book/1039340651/
仙侠世界,寂寞我独走,仙侠,0.0,穿越修仙界，前身是一个不太正经的炼丹师，以炼制房中丹术著称。更要命的是筑基失败，林远此时已经山穷水尽，油尽灯枯！可隔壁邻居却要把娇滴滴的女儿嫁给我！“林伯，清熙身无所长，除了这副身子，也只会些音律，歌舞...只盼能陪你走完余生，聊慰心中苦闷。”林远：…...“林伯你虽时日无多，但毕竟炼丹多年，丹术精湛，接下来的日子若是一心积攒，想来也能为我们母子攒下一笔家资，让我们的孩子未来走得更远……”“孩，孩,https://m.qidian.com/book/1047851998
女侠且慢,关关公子,玄幻,0.0,“女侠且慢，你可知我是什么人？” “知道，女帝身边的宠臣，反贼头目的相好，江湖名门的少主。脚踏三只船，我砍的就是你！” ----- 已有万订完本作品《世子很凶》《仙子很凶》，质量人品皆可保证，有兴趣的读者可以先看老书。,https://www.hongxiu.com/book/23966445409272404
